start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged
1997,2011,15,15,40-49,-0.574110019762474,0.563205887935245,0.5524587640665065,0.5741620783967547,0,183762,10742,TRUE
1997,2011,15,15,50-59,-0.5526870693608299,0.57540158724531,0.5669702866226142,0.5839582680367158,0,147193,17523,TRUE
1997,2011,15,15,60-69,-0.46046276572795397,0.630991576656107,0.622982507810232,0.6391036101646712,0,97259,25106,TRUE
1997,2011,15,15,70-79,-0.3090991487651806,0.7341079805180505,0.7259333524760336,0.7423746618365802,0,64936,34800,TRUE
1997,2011,15,15,80-89,-0.14913699838579556,0.8614510894058014,0.8504691000561957,0.8725748876583608,6.848602695072238e-115,34565,27593,TRUE
1998,2012,15,15,18-29,-0.4218930709360984,0.6558041601693502,0.6264645286958301,0.6865178741895611,5.87290716618026e-73,198612,2850,TRUE
1998,2012,15,15,30-39,-0.5383147884180112,0.5837311344277741,0.5655975706571476,0.6024460764646499,4.4987310713801314e-245,177939,4715,TRUE
1998,2012,15,15,40-49,-0.5741300466022474,0.5631946088141108,0.5520886456858994,0.5745239824724409,0,183615,10067,TRUE
1998,2012,15,15,50-59,-0.5597323481189073,0.5713619694910799,0.5627819269474401,0.5800728213704954,0,151747,16758,TRUE
1998,2012,15,15,60-69,-0.46950524281803513,0.6253115691517819,0.6171313538529012,0.6336002150496237,0,100758,23862,TRUE
1998,2012,15,15,70-79,-0.3163073935826565,0.7288353764124488,0.7204417240477017,0.7373268207257583,0,65003,32642,TRUE
1998,2012,15,15,80-89,-0.1515353702361345,0.8593874849970753,0.8483181434447311,0.8706012656650383,3.728675053869616e-116,35469,27174,TRUE
1999,2013,15,15,18-29,-0.4285429555658192,0.6514576062230621,0.6217534800146935,0.6825808400716193,2.030388472146473e-72,200560,2719,TRUE
1999,2013,15,15,30-39,-0.5454251328791571,0.5795953259253267,0.5607862482245448,0.5990352703869718,2.4229071475031e-230,177543,4370,TRUE
1999,2013,15,15,40-49,-0.5757083586923116,0.5623064130633861,0.5507512190372507,0.5741040441543274,0,183865,9363,TRUE
1999,2013,15,15,50-59,-0.5685665323329849,0.5663366824377079,0.5575742405659093,0.5752368286401057,0,156044,15956,TRUE
1999,2013,15,15,60-69,-0.4757530876185248,0.6214168988328348,0.6129995838067468,0.6299497950014228,0,104458,22442,TRUE
1999,2013,15,15,70-79,-0.3255720737837803,0.7221141328926377,0.7134722301840482,0.7308607102882932,0,65806,30610,TRUE
1999,2013,15,15,80-89,-0.15656071007529762,0.8550796041799336,0.8439352631633867,0.8663711085419574,5.3533519997805615e-121,36387,26657,TRUE
2000,2014,15,15,18-29,-0.4130129711559069,0.6616537003588825,0.6300773218814452,0.6948125317244401,1.4961282580511965e-61,203579,2550,TRUE
2000,2014,15,15,30-39,-0.5564128024045735,0.5732617831828722,0.5535985365377921,0.5936234479831796,2.57860927936177e-214,178182,4001,TRUE
2000,2014,15,15,40-49,-0.5771048350120577,0.5615217135077987,0.5494102942393908,0.5739001217245995,0,185098,8589,TRUE
2000,2014,15,15,50-59,-0.57384777698791,0.5633536039778337,0.5543496038234093,0.5725038512265498,0,161508,15098,TRUE
2000,2014,15,15,60-69,-0.48920304625001576,0.6131148236886116,0.6045113960038637,0.6218406956621123,0,109528,21162,TRUE
2000,2014,15,15,70-79,-0.33360845532444944,0.7163342041683238,0.7074288379340089,0.725351674325344,0,67358,28514,TRUE
2000,2014,15,15,80-89,-0.1624319433276004,0.8500739414605439,0.8387844938575738,0.861515337064596,2.483314429844704e-125,37668,26075,TRUE
